File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Development\Selkie\Common\Selkie.Common\SelkieConsole.cs,32,27,13,1,4,0,1,4,0,0
C:\Development\Selkie\Common\Selkie.Common\SelkieDateTime.cs,20,18,9,1,2,0,0,0,0,0
C:\Development\Selkie\Common\Selkie.Common\SelkieEnvironment.cs,25,23,11,1,2,0,0,0,0,0
C:\Development\Selkie\Common\Selkie.Common\SelkieInstaller.cs,16,15,6,1,1,1,0,6,0,0
C:\Development\Selkie\Common\Selkie.Common\SelkieRandom.cs,24,21,10,2,3,0,0,0,0,0
C:\Development\Selkie\Common\Selkie.Common\SelkieTimer.cs,43,36,17,0,7,0,0,0,0,0
C:\Development\Selkie\Common\Selkie.Common\Interfaces\IDateTime.cs,9,8,4,0,1,0,0,0,0,0
C:\Development\Selkie\Common\Selkie.Common\Interfaces\IDisposer.cs,26,20,12,0,6,0,0,0,0,0
C:\Development\Selkie\Common\Selkie.Common\Interfaces\IRandom.cs,10,9,4,0,1,0,0,0,0,0
C:\Development\Selkie\Common\Selkie.Common\Interfaces\ISelkieConsole.cs,15,12,6,0,3,0,0,0,0,0
C:\Development\Selkie\Common\Selkie.Common\Interfaces\ISelkieEnvironment.cs,8,8,4,0,0,0,0,0,0,0
C:\Development\Selkie\Common\Selkie.Common\Interfaces\ITimer.cs,12,11,5,0,1,0,0,0,0,0
C:\Development\Selkie\Common\Selkie.Common\Interfaces\ITimerFactory.cs,12,10,5,0,2,0,0,0,0,0
C:\Development\Selkie\Common\Selkie.Common\Properties\AssemblyInfo.cs,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\Common\Selkie.Common.Examples\DisposerExample.cs,36,30,16,0,6,0,0,0,0,0
C:\Development\Selkie\Common\Selkie.Common.Examples\Program.cs,24,20,13,0,3,0,1,3,0,0
C:\Development\Selkie\Common\Selkie.Common.Examples\SelkieConsoleExample.cs,18,16,7,0,2,0,0,0,0,0
C:\Development\Selkie\Common\Selkie.Common.Examples\SelkieDateTimeExample.cs,17,15,7,0,2,0,0,0,0,0
C:\Development\Selkie\Common\Selkie.Common.Examples\SelkieEnvironmentExample.cs,17,15,7,0,2,0,0,0,0,0
C:\Development\Selkie\Common\Selkie.Common.Examples\SelkieRandomExample.cs,23,20,9,1,3,0,0,0,0,0
C:\Development\Selkie\Common\Selkie.Common.Examples\SelkieTimerExample.cs,36,30,16,0,6,0,0,0,0,0
C:\Development\Selkie\Common\Selkie.Common.Examples\TestEvent.cs,13,12,5,0,1,0,0,0,0,0
C:\Development\Selkie\Common\Selkie.Common.Examples\Properties\AssemblyInfo.cs,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\EasyNetQ\NuGet.Selkie.EasyNetQ\Properties\AssemblyInfo.cs,39,14,2,0,8,0,17,120,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\CheckOrConfigureRabbitMq.cs,113,93,49,4,20,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\ICheckOrConfigureRabbitMq.cs,7,7,3,0,0,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\Installer.cs,38,33,18,1,5,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\IRegisterMessageHandlers.cs,12,11,6,0,1,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\ISelkieBus.cs,22,18,8,0,4,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\ISelkieEasyNetQLogger.cs,8,7,3,0,1,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\ISelkieInMemoryBus.cs,6,6,2,0,0,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\ISelkieManagementClient.cs,18,16,11,0,2,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\RegisterMessageHandlers.cs,60,50,28,3,10,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\SelkieBus.cs,51,45,20,0,6,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\SelkieEasyNetQLogger.cs,41,35,16,0,6,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\SelkieManagementClient.cs,161,145,66,18,16,0,0,0,0,0
C:\Development\Selkie\EasyNetQ\Selkie.EasyNetQ\SelkieMessageHandler.cs,18,16,8,0,2,0,0,0,0,0
